document_id,page,total_pages,status,reason,raw_chars,clean_chars,chunks_generated
codigo_etica_medica_CFM_2019,110,110,INDEXED,,93,93,1
de_identifying_government_datasets_NIST_2023,1,122,INDEXED,,666,251,1
de_identifying_government_datasets_NIST_2023,2,122,INDEXED,,1668,623,1
de_identifying_government_datasets_NIST_2023,3,122,NONINFORMATIVE_REMOVED,copyright_or_disclaimer,3376,3367,0
de_identifying_government_datasets_NIST_2023,4,122,INDEXED,,301,299,1
de_identifying_government_datasets_NIST_2023,5,122,INDEXED,,2284,2196,2
de_identifying_government_datasets_NIST_2023,6,122,NONINFORMATIVE_REMOVED,cover_or_heading_only,292,217,0
de_identifying_government_datasets_NIST_2023,7,122,INDEXED,,1009,930,1
de_identifying_government_datasets_NIST_2023,8,122,INDEXED,,844,784,1
de_identifying_government_datasets_NIST_2023,9,122,INDEXED,,3731,2638,3
de_identifying_government_datasets_NIST_2023,10,122,INDEXED,,3671,2655,3
de_identifying_government_datasets_NIST_2023,11,122,INDEXED,,3391,2578,3
de_identifying_government_datasets_NIST_2023,12,122,NONINFORMATIVE_REMOVED,editorial_footer_or_figure_caption,472,342,0
de_identifying_government_datasets_NIST_2023,13,122,NONINFORMATIVE_REMOVED,acknowledgements,2027,1964,0
de_identifying_government_datasets_NIST_2023,14,122,INDEXED,,454,410,1
de_identifying_government_datasets_NIST_2023,15,122,INDEXED,,3183,3128,3
de_identifying_government_datasets_NIST_2023,16,122,INDEXED,,3237,3141,3
de_identifying_government_datasets_NIST_2023,17,122,INDEXED,,2791,2731,3
de_identifying_government_datasets_NIST_2023,18,122,INDEXED,,3266,2998,3
de_identifying_government_datasets_NIST_2023,19,122,INDEXED,,3584,3417,4
de_identifying_government_datasets_NIST_2023,20,122,INDEXED,,3195,3066,3
de_identifying_government_datasets_NIST_2023,21,122,INDEXED,,2859,2702,3
de_identifying_government_datasets_NIST_2023,22,122,INDEXED,,1630,1450,2
de_identifying_government_datasets_NIST_2023,23,122,INDEXED,,2981,2914,3
de_identifying_government_datasets_NIST_2023,24,122,INDEXED,,3519,3272,4
de_identifying_government_datasets_NIST_2023,25,122,INDEXED,,3291,3199,4
de_identifying_government_datasets_NIST_2023,26,122,INDEXED,,3054,2956,3
de_identifying_government_datasets_NIST_2023,27,122,INDEXED,,3273,3171,4
de_identifying_government_datasets_NIST_2023,28,122,INDEXED,,3207,3033,4
de_identifying_government_datasets_NIST_2023,29,122,INDEXED,,3382,3285,4
de_identifying_government_datasets_NIST_2023,30,122,INDEXED,,3519,3426,4
de_identifying_government_datasets_NIST_2023,31,122,INDEXED,,3112,3011,3
de_identifying_government_datasets_NIST_2023,32,122,INDEXED,,2716,2623,3
de_identifying_government_datasets_NIST_2023,33,122,INDEXED,,3243,2992,4
de_identifying_government_datasets_NIST_2023,34,122,INDEXED,,3202,3071,4
de_identifying_government_datasets_NIST_2023,35,122,INDEXED,,3319,3215,4
de_identifying_government_datasets_NIST_2023,36,122,INDEXED,,3258,3115,4
de_identifying_government_datasets_NIST_2023,37,122,INDEXED,,3491,3333,4
de_identifying_government_datasets_NIST_2023,38,122,INDEXED,,3379,3239,4
de_identifying_government_datasets_NIST_2023,39,122,INDEXED,,2729,2492,3
de_identifying_government_datasets_NIST_2023,40,122,INDEXED,,2910,2768,3
de_identifying_government_datasets_NIST_2023,41,122,INDEXED,,2743,2552,3
de_identifying_government_datasets_NIST_2023,42,122,INDEXED,,2657,2492,3
de_identifying_government_datasets_NIST_2023,43,122,INDEXED,,3112,2904,3
de_identifying_government_datasets_NIST_2023,44,122,INDEXED,,414,207,1
de_identifying_government_datasets_NIST_2023,45,122,INDEXED,,1814,1651,2
de_identifying_government_datasets_NIST_2023,46,122,INDEXED,,2734,2562,3
de_identifying_government_datasets_NIST_2023,47,122,INDEXED,,3479,3227,4
de_identifying_government_datasets_NIST_2023,48,122,INDEXED,,2831,2706,3
de_identifying_government_datasets_NIST_2023,49,122,INDEXED,,3355,3250,3
de_identifying_government_datasets_NIST_2023,50,122,INDEXED,,3318,3174,4
de_identifying_government_datasets_NIST_2023,51,122,INDEXED,,3079,2918,3
de_identifying_government_datasets_NIST_2023,52,122,INDEXED,,3426,3338,3
de_identifying_government_datasets_NIST_2023,53,122,INDEXED,,2598,2406,3
de_identifying_government_datasets_NIST_2023,54,122,INDEXED,,2681,2504,3
de_identifying_government_datasets_NIST_2023,55,122,INDEXED,,3435,3346,4
de_identifying_government_datasets_NIST_2023,56,122,INDEXED,,3023,2902,3
de_identifying_government_datasets_NIST_2023,57,122,INDEXED,,2767,2638,3
de_identifying_government_datasets_NIST_2023,58,122,INDEXED,,3021,2908,3
de_identifying_government_datasets_NIST_2023,59,122,INDEXED,,624,543,1
de_identifying_government_datasets_NIST_2023,60,122,INDEXED,,2117,1976,2
de_identifying_government_datasets_NIST_2023,61,122,INDEXED,,2641,2371,3
de_identifying_government_datasets_NIST_2023,62,122,INDEXED,,3473,3176,3
de_identifying_government_datasets_NIST_2023,63,122,INDEXED,,2726,2499,3
de_identifying_government_datasets_NIST_2023,64,122,INDEXED,,2669,2403,2
de_identifying_government_datasets_NIST_2023,65,122,INDEXED,,3099,2878,3
de_identifying_government_datasets_NIST_2023,66,122,INDEXED,,2943,2842,3
de_identifying_government_datasets_NIST_2023,67,122,INDEXED,,2831,2581,3
de_identifying_government_datasets_NIST_2023,68,122,INDEXED,,2906,2700,3
de_identifying_government_datasets_NIST_2023,69,122,INDEXED,,2923,2714,3
de_identifying_government_datasets_NIST_2023,70,122,INDEXED,,3197,3098,3
de_identifying_government_datasets_NIST_2023,71,122,INDEXED,,2928,2825,3
de_identifying_government_datasets_NIST_2023,72,122,INDEXED,,2640,2290,3
de_identifying_government_datasets_NIST_2023,73,122,INDEXED,,3386,3297,4
de_identifying_government_datasets_NIST_2023,74,122,INDEXED,,2547,2344,3
de_identifying_government_datasets_NIST_2023,75,122,INDEXED,,3141,2993,3
de_identifying_government_datasets_NIST_2023,76,122,INDEXED,,2573,2181,3
de_identifying_government_datasets_NIST_2023,77,122,INDEXED,,2933,2815,3
de_identifying_government_datasets_NIST_2023,78,122,INDEXED,,2733,2497,3
de_identifying_government_datasets_NIST_2023,79,122,INDEXED,,2800,2616,3
de_identifying_government_datasets_NIST_2023,80,122,INDEXED,,3261,3133,4
de_identifying_government_datasets_NIST_2023,81,122,INDEXED,,3214,3060,3
de_identifying_government_datasets_NIST_2023,82,122,INDEXED,,2566,2443,3
de_identifying_government_datasets_NIST_2023,83,122,INDEXED,,3241,3056,3
de_identifying_government_datasets_NIST_2023,84,122,INDEXED,,3343,3160,4
de_identifying_government_datasets_NIST_2023,85,122,INDEXED,,1418,1329,2
